(tabledump 'T_DGAP_ALERT_CONFIG'
  (file-encoding 'UTF-8')
  (dump-version 1 1)
  (henplus-version '0.9.5')
  (time '2017-01-20 13:58:17.047')
  (database-info 'Oracle - Oracle Database 11g Enterprise Edition Release 11.2.0.1.0 - 64bit Production
With the Partitioning, OLAP, Data Mining and Real Application Testing options')
  (meta ('ID',     'ALERT_TYPE', 'TARGET_ID', 'DESCRIPTION', 'THRESHOLD', 'NEED_SEND_ALERT', 'CREATE_BY', 'CREATE_TIME', 'UPDATE_BY', 'UPDATE_TIME', 'DEL_FLAG', 'RESERVED_FIELD1', 'RESERVED_FIELD2', 'RESERVED_FIELD3', 'RESERVED_FIELD4', 'RESERVED_FIELD5', 'RESERVED_FIELD6', 'RESERVED_FIELD7', 'RESERVED_FIELD8', 'RESERVED_FIELD9', 'RESERVED_FIELD10', 'RESERVED_FIELD11', 'RESERVED_FIELD12', 'RESERVED_FIELD13', 'RESERVED_FIELD14', 'RESERVED_FIELD15', 'RESERVED_FIELD16', 'RESERVED_FIELD17', 'RESERVED_FIELD18', 'RESERVED_FIELD19', 'RESERVED_FIELD20')
	('STRING', 'STRING',     'STRING',    'STRING',      'NUMERIC',   'STRING',          'STRING',    'TIMESTAMP',   'STRING',    'TIMESTAMP',   'STRING',   'STRING',          'STRING',          'STRING',          'STRING',          'STRING',          'STRING',          'STRING',          'STRING',          'STRING',          'STRING',           'STRING',           'STRING',           'STRING',           'STRING',           'STRING',           'STRING',           'STRING',           'STRING',           'STRING',           'STRING'          ))
  (data ('547448142edd47bcb584cc4eea5ff2a09e2a57725b8a4550acabab828b144475','adf','924b67541c7e4efa96105b1c3f05b6f7683e31ac35d441dab7f9aeacd97c9de3','帅气',0,NULL,'admin','2016-11-04 15:28:59.0','admin','2016-12-21 14:29:26.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('84941d3580eb4f859d87810dea323a0cba6db575d1af4ecaa8cbc9367509b2ab','adf','27ea4f144e994547808f7a71e75d407e42fe2714e36d44ec80b1cbc6dc865e34','vvvvv',123,NULL,'admin','2016-11-07 10:08:57.0','admin','2016-11-10 09:19:49.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('a2db946c150b448e8b86b378a9f3c0ce85096a6f9a74496299e95a47229f2e2a','adf','27ea4f144e994547808f7a71e75d407e42fe2714e36d44ec80b1cbc6dc865e34','xxx',55,NULL,'admin','2016-11-07 10:18:50.0','admin','2016-11-10 09:20:28.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('809cf8025e0d473e85aba3604a8464a4e25641ad2dde47709e56d156573ee616','adf','65a37e5c5b97415d8d81f8958be558f4bdbb699f79e44a0d97348cb3b4273b5b','xvv',3,NULL,'admin','2016-11-07 10:34:18.0','admin','2016-11-07 11:42:05.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('09c3a76b43c34ee0802db4c4b50faac93cfc32733e1546c087991fd535d2f168','阿凡达是的','ca50c2a8eeea40b5ab0e69ccbcfa1b466ebbc95b3d524c979c11a7c974f0a7c4','11',0,NULL,'admin','2016-11-08 11:19:11.0','admin','2016-11-10 10:10:17.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('2e73c55541744b9bbdc97fe81389be0568713214fc9d43f3b2cc599f9223b285','阿凡达是的','ca50c2a8eeea40b5ab0e69ccbcfa1b466ebbc95b3d524c979c11a7c974f0a7c4','11',0,NULL,'admin','2016-11-08 11:19:11.0','admin','2016-11-10 09:20:17.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('02807881cd524a8bafe392712cfea313369ab5a3c9dc4c61bfad8267d746d452','阿凡达是的','ca50c2a8eeea40b5ab0e69ccbcfa1b466ebbc95b3d524c979c11a7c974f0a7c4','110',0,NULL,'admin','2016-11-08 11:19:23.0','admin','2016-11-08 11:49:47.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('271e91015d7a494084cb775bc88a08aba3cebc30b9bc44f4bb81b08ecd25d5e5','N9','df4be4479acf4678847f41feb9c9f3919955ad724a24437e936b350fc3398587','再来一次',0,NULL,'admin','2016-11-08 11:19:23.0','admin','2017-01-03 10:50:23.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
	('cd714eee31a540ee882e747a2c31ceba20db1a6d20ec40e8af916248c20b235a','阿凡达是的','ca50c2a8eeea40b5ab0e69ccbcfa1b466ebbc95b3d524c979c11a7c974f0a7c4','110',1,NULL,'admin','2016-11-08 11:35:18.0','admin','2016-11-10 09:20:14.0','Y',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL)
