what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228334441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228334871
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228335068
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228335446
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228335848
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1371228379575
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228384804
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228385893
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228411158
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228411929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228412156
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228412618
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228413267
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1371228413683
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1371228421578
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1371228425154
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1371228440343
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1371228442089
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1371228445811
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1371228448138
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1371228450355
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1371228453122
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1371228455287
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228462153
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228463260
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1371228480830
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228501969
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228502819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228508739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228513829
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1371228517570
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1371228517607
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1371228517630
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1371228517663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228534902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228572418
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1371228575784
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1371228575907
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1371228575948
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1371228590049
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1371228591546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1371228594438
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1371228596112
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1371228642341
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228645010
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228665346
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228676869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228694479
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371228696097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371229375126
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1371229377693
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1371229377830
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1371229377872
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1371229380719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1371229386136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371229387849
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1371229563499
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1371229736777
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1371229740605
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1371229747909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1371229749143
